ID	RA	Dec	Nobs	obs_dates
UW521	14.760735	14.525360000000001	0	[]
UW522	14.930839	14.525360000000001	0	[]
UW523	15.100943	14.525360000000001	0	[]
UW524	15.271047	14.525360000000001	0	[]
UW525	15.44115	14.525360000000001	0	[]
UW526	15.611254	14.525360000000001	0	[]
UW527	15.781357999999999	14.525360000000001	0	[]
UW528	15.951462	14.525360000000001	0	[]
UW529	16.121565	14.525360000000001	0	[]
UW530	16.291669	14.525360000000001	113	['2021-08-05']
UW531	16.461773	14.525360000000001	198	['2021-06-17' '2021-07-07' '2021-07-08']
UW532	16.631877	14.525360000000001	201	['2021-05-19' '2021-05-20']
UW533	16.80198	14.525360000000001	128	['2021-05-07']
UW534	16.972084	14.525360000000001	158	['2021-04-12' '2021-04-20' '2021-04-22']
UW535	7.587428999999999	16.33036	1183	"['2019-12-05' '2020-02-19' '2020-02-23' '2020-02-24' '2020-02-27'
 '2020-03-15' '2020-04-18' '2020-05-11' '2020-05-17' '2020-05-23']"
UW536	7.759017999999999	16.33036	130	['2020-11-18']
UW537	7.930607000000001	16.33036	109	['2020-12-19']
UW538	8.102196000000001	16.33036	118	['2021-02-08']
UW539	8.273785	16.33036	106	['2021-03-07']
UW540	8.445374000000001	16.33036	0	[]
UW541	8.616964	16.33036	0	[]
UW542	8.788553	16.33036	0	[]
UW543	8.960142	16.33036	0	[]
UW544	9.131731	16.33036	0	[]
UW545	9.30332	16.33036	0	[]
UW546	9.474910000000001	16.33036	0	[]
UW547	9.646499	16.33036	0	[]
UW548	9.818088000000001	16.33036	0	[]
UW549	9.989677	16.33036	0	[]
UW550	10.161266	16.33036	0	[]
UW551	10.332856	16.33036	0	[]
UW552	10.504445	16.33036	0	[]
UW553	10.676034	16.33036	0	[]
UW554	10.847623	16.33036	0	[]
UW555	11.019212	16.33036	0	[]
UW556	11.190800999999999	16.33036	0	[]
UW557	11.362391	16.33036	0	[]
UW558	11.53398	16.33036	0	[]
UW559	11.705569	16.33036	0	[]
UW560	11.877158	16.33036	0	[]
UW561	12.048747	16.33036	0	[]
UW562	12.220336999999999	16.33036	0	[]
UW563	12.391926	16.33036	0	[]
UW564	12.563514999999999	16.33036	0	[]
UW565	12.735104	16.33036	0	[]
UW566	12.906692999999999	16.33036	0	[]
UW567	13.078283	16.33036	0	[]
UW568	13.249872	16.33036	0	[]
UW569	13.421460999999999	16.33036	0	[]
UW570	13.59305	16.33036	0	[]
UW571	13.764639	16.33036	0	[]
UW572	13.936228	16.33036	0	[]
UW573	14.107818	16.33036	0	[]
UW574	14.279407	16.33036	0	[]
UW575	14.450996	16.33036	0	[]
UW576	14.622585	16.33036	0	[]
UW577	14.794174	16.33036	0	[]
UW578	14.965764000000002	16.33036	0	[]
UW579	15.137353	16.33036	0	[]
UW580	15.308942000000002	16.33036	0	[]
UW581	15.480531	16.33036	0	[]
UW582	15.652120000000002	16.33036	0	[]
UW583	15.823709	16.33036	0	[]
UW584	15.995299	16.33036	0	[]
UW585	16.166888	16.33036	119	['2021-08-06']
UW586	16.338476999999997	16.33036	125	['2021-07-11' '2021-07-13']
UW587	16.510066000000002	16.33036	116	['2021-06-01']
UW588	16.681655	16.33036	235	['2021-05-13']
UW589	16.853245	16.33036	125	['2021-04-23' '2021-05-06']
UW590	17.024834	16.33036	132	['2020-05-31']
UW591	7.555018	18.135360000000002	534	['2019-12-01' '2019-12-04' '2019-12-05' '2019-12-26']
UW592	7.728292	18.135360000000002	129	['2020-11-15']
UW593	7.901567	18.135360000000002	252	['2020-11-20']
UW594	8.074841000000001	18.135360000000002	116	['2021-01-05']
UW595	8.248114999999999	18.135360000000002	150	['2021-02-11' '2021-03-02']
UW596	8.421389999999999	18.135360000000002	0	[]
UW597	8.594664	18.135360000000002	0	[]
UW598	8.767938000000001	18.135360000000002	0	[]
UW599	8.941212	18.135360000000002	0	[]
UW600	9.114486999999999	18.135360000000002	0	[]
UW601	9.287761	18.135360000000002	0	[]
UW602	9.461035	18.135360000000002	0	[]
UW603	9.634309	18.135360000000002	0	[]
UW604	9.807584	18.135360000000002	0	[]
UW605	9.980858	18.135360000000002	0	[]
UW606	10.154132	18.135360000000002	0	[]
UW607	10.327407000000001	18.135360000000002	0	[]
UW608	10.500681	18.135360000000002	0	[]
UW609	10.673955	18.135360000000002	0	[]
UW610	10.847228999999999	18.135360000000002	0	[]
UW611	11.020503999999999	18.135360000000002	0	[]
UW612	11.193778	18.135360000000002	0	[]
UW613	11.367052000000001	18.135360000000002	0	[]
UW614	11.540326	18.135360000000002	0	[]
UW615	11.713600999999999	18.135360000000002	0	[]
UW616	11.886875	18.135360000000002	0	[]
UW617	12.060149000000001	18.135360000000002	0	[]
UW618	12.233424000000001	18.135360000000002	0	[]
UW619	12.406698	18.135360000000002	0	[]
UW620	12.579972	18.135360000000002	0	[]
UW621	12.753246	18.135360000000002	0	[]
UW622	12.926521000000001	18.135360000000002	0	[]
UW623	13.099795	18.135360000000002	0	[]
UW624	13.273069	18.135360000000002	0	[]
UW625	13.446342999999999	18.135360000000002	0	[]
UW626	13.619618	18.135360000000002	0	[]
UW627	13.792892000000002	18.135360000000002	0	[]
UW628	13.966166000000001	18.135360000000002	0	[]
UW629	14.139441	18.135360000000002	0	[]
UW630	14.312714999999999	18.135360000000002	0	[]
UW631	14.485989000000002	18.135360000000002	0	[]
UW632	14.659263000000001	18.135360000000002	0	[]
UW633	14.832538000000001	18.135360000000002	0	[]
UW634	15.005811999999999	18.135360000000002	0	[]
UW635	15.179085999999998	18.135360000000002	0	[]
UW636	15.352360000000001	18.135360000000002	0	[]
